beer,calories,sodium,alcohol,cost
budweis,144,15,5,0.43
schlitz,151,19,4.6,0.43
lowenbr,157,15,4.9,0.48
kronenb,170,7,5.2,0.73
heineken,152,11,5,0.77
old-mil,145,23,4.6,0.28
augsberg,175,24,5.5,0.4
strohs,149,27,4.7,0.42
miller-l,99,10,4.3,0.43
budwei-l,113,8,3.7,0.44
coors,140,18,4.6,0.44
coors-l,102,15,4.1,0.46
michel-l,135,11,4.2,0.5
becks,150,19,4.7,0.76
kirin,149,6,5,0.79
pabst-xl,68,15,2.3,0.38
hamms,136,19,4.4,0.43
heile-os,144,24,4.4,0.43
olymp-gl,72,6,4.9,0.46
schlit-l,97,7,4.2,0.47
